Filename,Particle,Size,SizeSD,Lens,Motion,FPS,FrameDrop,LaserCurrent,Flags
A01,Polystyrene,1.053,0.01,Immersion,Brownian,40.85,?,N/A,Drift
A02,Polystyrene,1.053,0.01,Immersion,Brownian,80,?,N/A,Drift
A03,Polystyrene,1.053,0.01,Immersion,Brownian,68.83,?,N/A,Drift
B01,Polystyrene,2.061,0.024,Immersion,Brownian,113.12,?,N/A,None
B02,Polystyrene,2.061,0.024,Immersion,Brownian,46.21,?,N/A,None
B03,Polystyrene,2.061,0.024,Immersion,Brownian,46.01,?,N/A,None
B04,Polystyrene,2.061,0.024,Immersion,Brownian,35.85,?,N/A,None
B05,Polystyrene,2.061,0.024,Immersion,Brownian,25.76,?,N/A,TwoTrapped
B06,Polystyrene,2.061,0.024,Immersion,Brownian,100,?,N/A,None
B07,Polystyrene,2.061,0.024,Immersion,Brownian,83.1,?,N/A,StorageFill
B08,Polystyrene,2.061,0.024,Immersion,Brownian,57.97,?,N/A,None
B09,Polystyrene,2.061,0.024,Immersion,Brownian,60.86,?,N/A,Bump
C01,Polystyrene,2.061,0.024,Immersion,Brownian,,?,N/A,None
C02,Polystyrene,2.016,0.024,Immersion,Trapped,123.55,?,100mA,None
C03,Polystyrene,2.061,0.024,Immersion,Trapped,53.31,?,100mA,Free
C04,Polystyrene,2.061,0.024,Immersion,Trapped,73.26,?,100mA,TwoTrapped
C05,Polystyrene,2.061,0.024,Immersion,Trapped,100,?,100mA,TwoTrapped
C06,Polystyrene,2.061,0.024,Immersion,Trapped,106.41,?,100mA,None
D01,Polystyrene,2.061,0.024,Immersion,Brownian,47.48,?,N/A,TwoTrapped
D02,Polystyrene,2.061,0.024,Immersion,Trapped,,?,100mA,None
D03,Polystyrene,2.061,0.024,Immersion,Trapped,49.67,?,100mA,TwoTrapped
D04,Polystyrene,2.061,0.024,Immersion,Brownian,46.6,?,N/A,Coupled
E01,Silicon,2.01,?,Immersion,Trapped,88.99,?,100mA,SameParticle
E02,Silicon,2.01,?,Immersion,Trapped,140.23,?,100mA,SameParticle
E03,Silicon,2.01,?,Immersion,Trapped,140,?,100mA,SameParticle
E04,Silicon,2.01,?,Immersion,Brownian,86.13,?,N/A,SameParticle
E05,Silicon,2.01,?,Immersion,Brownian,68.4,?,N/A,SameParticle
E06,Silicon,2.01,?,Immersion,Trapped,104.23,?,100mA,SameParticle
F01,Polystyrene,2.061,0.024,Immersion,Brownian,27.81,?,N/A,None
F02,Polystyrene,2.061,0.024,Immersion,Trapped,98.63,?,PowerDrop,None
F03,Polystyrene,2.061,0.024,Immersion,Trapped,164.69,?,PowerDrop,None
F04,Polystyrene,2.061,0.024,Immersion,Trapped,90.26,?,PowerDrop,None
F05,Polystyrene,2.061,0.024,Immersion,Trapped,75.24,?,PowerDrop,None
F06,Polystyrene,2.061,0.024,Immersion,Trapped,96.21,?,PowerDrop,None
F07,Polystyrene,2.061,0.024,Immersion,Trapped,111.61,?,PowerDrop,None
F08,Polystyrene,2.061,0.024,Immersion,Trapped,117.04,?,PowerDrop,None
F09,Polystyrene,2.061,0.024,Immersion,Trapped,109.75,?,PowerDrop,None
F00,Polystyrene,2.061,0.024,Immersion,Trapped,88.52,?,PowerDrop,None
G_00,Polystyrene,2.061,0.024,Immersion,Trapped,40,0,100mA,None
G_01,Polystyrene,2.061,0.024,Immersion,Trapped,40,2,100mA,None
G_02,Polystyrene,2.061,0.024,Immersion,Trapped,40,2,100mA,None
H_00,Polystyrene,2.061,0.024,Immersion,Trapped,40,1,100mA,None
H_01,Polystyrene,2.061,0.024,Immersion,Trapped,40,1,100mA,None
H_02,Polystyrene,2.061,0.024,Immersion,Trapped,40,1,100mA,None
H_03,Polystyrene,2.061,0.024,Immersion,Trapped,40,1,100mA,None
H_04,Polystyrene,2.061,0.024,Immersion,Trapped,40,1,100mA,None
H_05,Polystyrene,2.061,0.024,Immersion,Trapped,20,1,100mA,None
H_06,Polystyrene,2.061,0.024,Immersion,Trapped,20,1,100mA,None
H_07,Polystyrene,2.061,0.024,Immersion,Trapped,80,10,100mA,None
H_08,Polystyrene,2.061,0.024,Immersion,Trapped,80,10,100mA,None
I_00,Polystyrene,2.061,0.024,Immersion,Trapped,40,10,100mA,None
I_01,Polystyrene,2.061,0.024,Immersion,Trapped,40,10,100mA,None
I_02,Polystyrene,2.061,0.024,Immersion,Trapped,40,10,100mA,None
J_00,Polystyrene,2.061,0.024,Immersion,Trapped,116.95,25,100mA,None
J_01,Polystyrene,2.061,0.024,Immersion,Trapped,113.55,25,100mA,None
K_00,Polystyrene,1.053,0.01,Immersion,Trapped,40,3,100mA,None
K_01,Polystyrene,1.053,0.01,Immersion,Trapped,40,0,100mA,None
K_02,Polystyrene,1.053,0.01,Immersion,Trapped,40,0,100mA,None
K_03,Polystyrene,1.053,0.01,Immersion,Trapped,40,0,100mA,None
K_04,Polystyrene,1.053,0.01,Immersion,Trapped,40,0,100mA,None
L_00,Polystyrene,0.202,0.01,Immersion,Trapped,38.9,0,100mA,None
L_01,Polystyrene,0.202,0.01,Immersion,Brownian,20,0,N/A,None
L_02,Polystyrene,0.202,0.01,Immersion,Brownian,20,0,N/A,None
P_00,Polystyrene,2.061,0.024,Immersion,Brownian,33.32,2,N/A,None
P_01,Polystyrene,2.061,0.024,Immersion,Brownian,40,2,N/A,None
P_02,Polystyrene,2.061,0.024,Immersion,Brownian,20,0,N/A,None
Q_00,Polystyrene,1.053,0.01,Immersion,Brownian,40,2,N/A,None
