Filename,Current,Power,Measured Power,Measured Power Error
A_00,100,437,1021.9417659467705,24.691698571200877
A_01,95,406,881.2475061723777,21.710937653316282
A_02,90,376,774.991290731043,18.86107996909717
A_03,85,343,679.9863082216519,16.51205437553564
A_04,80,312,702.0849013444636,16.948273343774805
A_05,75,281,546.921982410201,13.240984091535749
A_06,70,250,459.3237232655454,11.119415675532025
A_07,65,217,414.75381186097786,10.032819574040076
A_08,60,185,340.66463059402594,8.242499007672134
A_09,55,153,286.5017412439189,6.978503021033022
A_10,50,120,227.17083803405285,5.4955240432808825
A_11,45,87,146.9502096140879,3.559656262701916
A_12,40,55,82.20971283017772,2.0045376439421405
